Vessel_ID,Timestamp,Maintenance_Type,Failure_Code,Repair_Time_hours,Incident_Type,Risk_Category,Maintenance_Cost_USD
SHIP_0002,2024-01-14,Hull Inspection,,20.559291214832964,Weather Damage,Medium,35659.09505113532
SHIP_0002,2024-07-24,Engine Service,,0.0,Weather Damage,Low,32785.641359854715
SHIP_0002,2024-05-30,Propeller Repair,F004,38.74523309763837,System Malfunction,Low,14360.778839013263
SHIP_0002,2024-11-04,Hull Inspection,F001,0.0,Weather Damage,Low,46613.18492067447
SHIP_0002,2024-08-01,Navigation Equipment,F006,18.870005052259923,Collision Warning,Low,7074.8728449633645
SHIP_0002,2024-12-08,Hull Inspection,F004,13.58550836142585,Mechanical Failure,Medium,46962.407274510435
SHIP_0002,2024-06-14,Safety Systems,F005,0.0,Human Error,Medium,37298.550325008364
SHIP_0002,2024-08-07,Safety Systems,F004,11.703439082088726,Weather Damage,Medium,10037.116283237698
SHIP_0002,2024-05-13,Electrical System,,43.538054946536796,System Malfunction,Medium,42312.21699513596
SHIP_0002,2024-05-27,Hull Inspection,,37.850801790359746,Collision Warning,Medium,34115.0055937594
SHIP_0002,2024-05-30,Engine Service,F007,29.714211756547893,Collision Warning,Low,15645.026196760138
SHIP_0002,2024-04-12,Safety Systems,F008,39.17636924355711,Mechanical Failure,Low,11139.868699781842
SHIP_0002,2024-10-06,Safety Systems,F004,10.965346923751133,Human Error,Low,21363.443313451116
SHIP_0002,2024-06-28,Safety Systems,F007,16.549300942157117,Collision Warning,Low,9396.387007571386
SHIP_0002,2024-11-18,Safety Systems,F003,32.94320048036427,Collision Warning,Low,27236.109196822446
SHIP_0002,2024-10-05,Electrical System,F001,6.0245870368776675,Normal Operation,Low,8823.93869763021
SHIP_0002,2024-06-05,Safety Systems,,0.0,System Malfunction,Medium,48495.31234467236
SHIP_0002,2024-05-21,Propeller Repair,,0.0,Collision Warning,Low,5392.685668133032
SHIP_0002,2024-11-17,Propeller Repair,,0.0,Mechanical Failure,Low,32498.767458471513
SHIP_0002,2024-01-22,Navigation Equipment,,44.94341040420245,Collision Warning,Medium,24642.439962547745
SHIP_0002,2024-11-10,Electrical System,F004,34.88886955281509,Weather Damage,Medium,39454.72480031751
SHIP_0002,2024-10-14,Navigation Equipment,F002,0.0,Normal Operation,Low,11815.442775179587
SHIP_0002,2024-09-27,Electrical System,,0.0,Human Error,Low,4077.6825176152915
SHIP_0002,2024-03-15,Propeller Repair,F001,0.0,Human Error,Medium,39434.728778225835
SHIP_0002,2024-06-16,Electrical System,F006,47.888613856566145,Collision Warning,Low,37193.540553550214
SHIP_0002,2024-08-29,Navigation Equipment,F007,0.0,Mechanical Failure,Low,19982.704745044004
SHIP_0002,2024-07-22,Propeller Repair,F004,0.0,Mechanical Failure,Medium,8579.761260601234
SHIP_0002,2024-07-28,Propeller Repair,,8.979945409474478,Weather Damage,High,39506.021469488354
SHIP_0002,2024-05-09,Hull Inspection,,31.695342134117173,Collision Warning,Low,25043.691929346234
SHIP_0002,2024-01-13,Navigation Equipment,F006,10.936686372299395,Collision Warning,Low,3718.5101825847073
SHIP_0002,2024-05-30,Navigation Equipment,F005,0.0,Weather Damage,Medium,7133.693347866207
SHIP_0002,2024-09-23,Hull Inspection,F008,0.0,Collision Warning,Low,43271.17407100226
SHIP_0003,2024-01-20,Propeller Repair,F004,0.0,Collision Warning,Low,8850.850047397513
SHIP_0003,2024-09-23,Navigation Equipment,F004,0.0,Mechanical Failure,Low,37268.31954329698
SHIP_0003,2024-09-20,Propeller Repair,,0.0,Normal Operation,Medium,41734.03032273807
SHIP_0003,2024-03-02,Propeller Repair,,47.4659069972059,Human Error,Low,23346.968214680666
SHIP_0003,2024-04-04,Propeller Repair,,0.0,System Malfunction,High,6236.085202776653
SHIP_0003,2024-05-05,Hull Inspection,F002,26.367819276103962,Human Error,Low,559.087630053982
SHIP_0003,2024-03-03,Engine Service,F002,47.195070435318534,Collision Warning,Low,5052.255157894049
SHIP_0003,2024-01-12,Electrical System,F005,34.90906610169299,Normal Operation,Low,10000.17685652477
SHIP_0003,2024-06-13,Hull Inspection,F001,33.384916539931055,Mechanical Failure,High,27747.682210924984
SHIP_0003,2024-03-20,Engine Service,,0.0,Human Error,High,12788.340567566927
SHIP_0003,2024-12-01,Propeller Repair,F002,33.598224752519286,Collision Warning,Medium,11098.266667024185
SHIP_0003,2024-09-19,Electrical System,F008,39.45252429280772,Human Error,High,37301.14401701361
SHIP_0003,2024-04-20,Propeller Repair,F007,0.0,Human Error,Low,27742.905300575472
SHIP_0003,2024-10-30,Navigation Equipment,F005,0.0,Human Error,Medium,31937.41682517778
SHIP_0003,2024-06-21,Hull Inspection,,0.0,Normal Operation,Medium,6214.829453250706
SHIP_0003,2024-12-02,Navigation Equipment,F002,44.24351226359333,Normal Operation,Low,15027.106245012079
SHIP_0003,2024-11-28,Hull Inspection,,0.0,Mechanical Failure,Low,6540.49837139231
SHIP_0003,2024-03-29,Hull Inspection,F002,0.0,Normal Operation,Medium,17232.967267921063
SHIP_0003,2024-03-13,Electrical System,F002,2.6462959754934063,Collision Warning,Low,38431.77765034833
SHIP_0003,2024-05-15,Electrical System,,0.0,Collision Warning,Low,39516.81042139727
SHIP_0003,2024-06-16,Engine Service,F004,0.0,Weather Damage,Low,33781.55119604261
SHIP_0003,2024-08-02,Engine Service,F003,12.439355101432504,System Malfunction,Low,23990.992926874384
SHIP_0003,2024-02-19,Navigation Equipment,F002,33.09477109253112,Mechanical Failure,Low,48415.49357487949
SHIP_0003,2024-07-12,Hull Inspection,,0.0,Mechanical Failure,Medium,14693.432518481597
SHIP_0003,2024-03-26,Propeller Repair,,31.115409185917137,Weather Damage,Low,15075.440271051162
SHIP_0003,2024-12-07,Navigation Equipment,F002,0.0,Mechanical Failure,Medium,27177.96931965956
SHIP_0003,2024-02-21,Hull Inspection,F008,0.0,Human Error,High,25878.492283547224
SHIP_0003,2024-12-13,Safety Systems,,0.0,Weather Damage,Low,39661.75933395755
SHIP_0003,2024-01-23,Safety Systems,F001,0.0,Mechanical Failure,Medium,3286.6488458847775
SHIP_0003,2024-06-26,Engine Service,F004,0.0,Human Error,Low,37339.20095122911
SHIP_0004,2024-05-11,Electrical System,F005,0.0,Normal Operation,Low,36790.17066335484
SHIP_0004,2024-03-22,Navigation Equipment,,25.298565691943093,Human Error,Low,8523.294056832568
SHIP_0004,2024-09-19,Engine Service,F001,26.372022171140472,Weather Damage,Low,10270.726225822087
SHIP_0004,2024-06-14,Navigation Equipment,,7.749708495950866,Collision Warning,Low,33943.118383098605
SHIP_0004,2024-07-19,Hull Inspection,,11.131590202821352,Weather Damage,Low,16998.762861877414
SHIP_0004,2024-02-01,Propeller Repair,F005,20.978701968772764,Mechanical Failure,Medium,18121.901678592272
SHIP_0004,2024-07-25,Navigation Equipment,F004,1.6108383354667406,Collision Warning,Low,18459.93516947842
SHIP_0004,2024-06-19,Safety Systems,F004,7.7823922007787445,Weather Damage,Low,36687.43069676327
SHIP_0004,2024-09-26,Safety Systems,,0.0,Collision Warning,Medium,34831.23947526695
SHIP_0004,2024-01-07,Safety Systems,,44.91086471796513,Human Error,Low,30643.85943841059
SHIP_0004,2024-10-05,Safety Systems,,0.0,Collision Warning,Medium,37355.25566859515
SHIP_0004,2024-03-06,Safety Systems,F008,19.06294043917752,Mechanical Failure,Medium,1294.9836415365985
SHIP_0004,2024-04-19,Electrical System,,40.128131373305294,System Malfunction,Medium,16441.929296157112
SHIP_0004,2024-08-09,Engine Service,F005,8.45730141892007,Human Error,Medium,39398.65810840681
SHIP_0004,2024-11-23,Propeller Repair,,42.44278752981382,System Malfunction,Medium,34988.72215595766
SHIP_0004,2024-08-16,Electrical System,F002,0.0,Human Error,Low,48095.08775036974
SHIP_0004,2024-09-07,Safety Systems,F002,40.19309319888998,Human Error,Low,19232.912729969747
SHIP_0004,2024-07-28,Hull Inspection,F006,4.223155349664964,System Malfunction,Low,12392.725857409689
SHIP_0004,2024-03-10,Propeller Repair,,0.0,Normal Operation,Medium,49944.99543474404
SHIP_0004,2024-05-18,Engine Service,F001,0.0,Mechanical Failure,Low,37630.636160791924
SHIP_0004,2024-08-07,Engine Service,,41.21365820152386,Normal Operation,Medium,1025.872157404466
SHIP_0004,2024-04-23,Hull Inspection,,9.958855747919525,System Malfunction,Low,24528.971429971196
SHIP_0004,2024-01-01,Hull Inspection,F003,2.3011895525963135,Mechanical Failure,Medium,37715.80998808157
SHIP_0004,2024-08-18,Engine Service,,43.63304400778464,Weather Damage,Low,36517.92967761972
SHIP_0004,2024-03-19,Engine Service,F006,0.0,System Malfunction,High,1914.2808121077926
SHIP_0004,2024-10-01,Propeller Repair,F006,0.0,Normal Operation,Medium,30027.60235903743
SHIP_0004,2024-01-10,Engine Service,F006,0.0,Collision Warning,Low,34795.67834042541
SHIP_0004,2024-11-06,Navigation Equipment,F004,0.0,Mechanical Failure,High,23519.088750178635
SHIP_0004,2024-07-23,Navigation Equipment,F008,16.887957658683966,Weather Damage,Low,15525.474871340622
SHIP_0004,2024-05-23,Hull Inspection,,19.77443576074041,Weather Damage,Low,26975.83412461356
SHIP_0004,2024-02-04,Hull Inspection,,0.0,Normal Operation,Low,16168.210347017673
SHIP_0005,2024-03-27,Navigation Equipment,F006,11.410457891306017,Normal Operation,Low,16278.702763963978
SHIP_0005,2024-06-27,Navigation Equipment,F004,19.570609732935697,Normal Operation,Medium,41902.349218397445
SHIP_0005,2024-10-13,Engine Service,F001,40.55523167630822,Human Error,Medium,13222.872116635059
SHIP_0005,2024-11-12,Engine Service,F004,0.0,Mechanical Failure,Medium,32596.66238305292
SHIP_0005,2024-08-11,Safety Systems,,0.0,Weather Damage,Low,10127.324895012112
SHIP_0005,2024-07-19,Engine Service,F001,21.25667710594545,Human Error,Low,31773.32794938584
SHIP_0005,2024-06-21,Propeller Repair,F001,0.0,Collision Warning,High,30682.406968776464
SHIP_0005,2024-04-25,Navigation Equipment,,16.103958998064332,System Malfunction,Low,34004.84481901611
SHIP_0005,2024-10-29,Safety Systems,,8.786239950268982,Weather Damage,Low,45439.91419453844
SHIP_0005,2024-05-28,Safety Systems,,28.659970472122644,Mechanical Failure,Medium,43595.77501149911
SHIP_0005,2024-02-20,Propeller Repair,,0.0,Mechanical Failure,Low,21782.154008973434
SHIP_0005,2024-02-16,Electrical System,F007,0.0,Human Error,Low,46504.18883742277
SHIP_0005,2024-08-19,Safety Systems,F002,0.0,Human Error,High,22525.80368162934
SHIP_0005,2024-09-26,Engine Service,,0.0,Mechanical Failure,Medium,15895.674578535507
SHIP_0005,2024-01-19,Engine Service,,8.274409020899663,System Malfunction,Low,47633.100436009976
SHIP_0005,2024-12-25,Safety Systems,,38.808970892556886,System Malfunction,Low,27709.864129313977
SHIP_0005,2024-04-17,Engine Service,,18.900109726938062,System Malfunction,Low,46339.060744687435
SHIP_0005,2024-11-01,Hull Inspection,F005,38.98374258578164,Mechanical Failure,Low,36661.21462603426
SHIP_0005,2024-09-25,Navigation Equipment,F008,0.0,System Malfunction,Low,29265.488301090012
SHIP_0005,2024-02-18,Hull Inspection,,0.0,Normal Operation,Low,8614.3573898501
SHIP_0005,2024-07-11,Navigation Equipment,,32.21916378308296,Normal Operation,Low,2315.9245092605624
SHIP_0005,2024-03-05,Engine Service,F003,0.0,Collision Warning,Low,46658.19104344281
SHIP_0005,2024-12-10,Propeller Repair,,0.0,Human Error,Low,45733.9177492485
SHIP_0005,2024-07-28,Hull Inspection,,28.912960767453498,Mechanical Failure,Medium,18632.233816250413
SHIP_0006,2024-03-21,Hull Inspection,,44.91015924689902,Collision Warning,Medium,12498.782522358939
SHIP_0006,2024-10-17,Navigation Equipment,,29.607410230220882,Weather Damage,Low,31347.456273427255
SHIP_0006,2024-08-28,Propeller Repair,,0.0,Collision Warning,Medium,27826.196305937647
SHIP_0006,2024-03-13,Navigation Equipment,,6.213759554546703,System Malfunction,Medium,37379.63987602323
SHIP_0006,2024-01-07,Navigation Equipment,,0.0,Weather Damage,Medium,27693.703699078924
SHIP_0006,2024-01-06,Propeller Repair,,0.0,Normal Operation,Low,5084.16206169227
SHIP_0006,2024-04-21,Safety Systems,,0.0,Human Error,Medium,20860.96680509141
SHIP_0006,2024-11-01,Propeller Repair,F005,0.0,Collision Warning,Low,37160.18166252591
SHIP_0006,2024-05-30,Propeller Repair,F007,0.0,Human Error,Medium,31488.01800653321
SHIP_0006,2024-02-28,Safety Systems,F005,38.86340305141167,Normal Operation,High,32532.090395387502
SHIP_0006,2024-12-02,Safety Systems,,35.08747081209436,Human Error,Low,30840.913707814285
SHIP_0006,2024-10-31,Navigation Equipment,F001,0.0,System Malfunction,Medium,12943.643710150649
SHIP_0006,2024-10-25,Engine Service,F005,0.0,Collision Warning,Medium,32237.115450827412
SHIP_0006,2024-07-25,Navigation Equipment,F006,16.556487679075474,System Malfunction,Low,25330.564719866023
SHIP_0006,2024-04-02,Hull Inspection,F001,30.577959648004267,Weather Damage,Medium,38137.140881590254
SHIP_0006,2024-11-09,Propeller Repair,F008,27.046981698389462,Mechanical Failure,High,40156.99227241172
SHIP_0006,2024-09-29,Hull Inspection,F001,4.833869791505492,Normal Operation,Low,22515.067854153065
SHIP_0006,2024-10-13,Engine Service,,37.540280139839545,Normal Operation,Low,37735.40759494854
SHIP_0006,2024-11-22,Propeller Repair,F002,7.899311545356493,Human Error,Medium,11217.006122506726
SHIP_0006,2024-02-06,Electrical System,,0.0,Mechanical Failure,High,35017.021143582635
SHIP_0006,2024-02-24,Hull Inspection,,0.0,System Malfunction,Low,32690.71989612712
SHIP_0006,2024-03-27,Electrical System,F002,0.0,System Malfunction,Medium,32442.244393710942
SHIP_0006,2024-08-04,Safety Systems,F003,40.737195036830904,System Malfunction,Low,39975.31895979888
SHIP_0006,2024-03-07,Electrical System,F006,9.406557601115331,System Malfunction,High,24863.66440368253
SHIP_0006,2024-04-30,Safety Systems,F001,0.0,Normal Operation,Low,22134.019978254804
SHIP_0006,2024-07-29,Safety Systems,F008,41.048954111207074,Human Error,Low,32822.478471097435
SHIP_0006,2024-03-16,Propeller Repair,F008,0.0,System Malfunction,Low,9096.421563201442
SHIP_0006,2024-04-04,Electrical System,F004,7.257007083359767,Normal Operation,Low,38852.02149637363
SHIP_0006,2024-08-27,Propeller Repair,F005,40.99254116076117,Mechanical Failure,Low,47565.31360993304
SHIP_0007,2024-02-03,Engine Service,,0.0,Normal Operation,High,48477.55383185997
SHIP_0007,2024-06-10,Navigation Equipment,,7.761365453423141,Weather Damage,Low,26294.86324466789
SHIP_0007,2024-02-12,Safety Systems,F006,47.35189872593288,Weather Damage,Low,10870.654121285148
SHIP_0007,2024-04-17,Navigation Equipment,F001,26.562277274868205,System Malfunction,Medium,21758.717573127873
SHIP_0007,2024-11-14,Propeller Repair,F003,0.0,Human Error,Low,3683.716645369298
SHIP_0007,2024-02-07,Engine Service,F005,2.3101152916780636,System Malfunction,High,33704.05003202529
SHIP_0007,2024-12-07,Propeller Repair,,38.07776990203355,Mechanical Failure,Low,37183.038865877745
SHIP_0007,2024-01-04,Electrical System,F004,0.0,Normal Operation,Low,45730.049760677706
SHIP_0007,2024-07-04,Hull Inspection,F001,34.288633927508734,Collision Warning,Low,36990.37813701235
SHIP_0007,2024-04-15,Navigation Equipment,,0.0,Weather Damage,Low,37748.53863469084
SHIP_0007,2024-03-13,Electrical System,,0.0,Human Error,Low,29945.873795685693
SHIP_0007,2024-02-10,Electrical System,F002,0.0,Mechanical Failure,Low,42615.745819758995
SHIP_0007,2024-12-04,Propeller Repair,,38.04537416212894,Mechanical Failure,High,19103.730572263365
SHIP_0007,2024-04-12,Hull Inspection,F006,7.113040682911715,Collision Warning,Low,49371.452395505716
SHIP_0007,2024-07-04,Propeller Repair,,25.795592467127875,Weather Damage,Medium,7870.748159457584
SHIP_0007,2024-04-28,Electrical System,,11.259837696363356,Collision Warning,Low,31564.435132409708
SHIP_0007,2024-12-24,Safety Systems,F005,0.0,Mechanical Failure,Medium,17705.87018734725
SHIP_0007,2024-12-28,Engine Service,,0.0,Human Error,Low,37756.20478802619
SHIP_0007,2024-09-17,Safety Systems,,17.837939044171865,System Malfunction,Medium,44665.176497035915
SHIP_0007,2024-03-01,Propeller Repair,F004,3.361479695388314,Collision Warning,High,30203.820172719945
SHIP_0007,2024-01-15,Electrical System,,0.0,Mechanical Failure,Medium,25481.377105967018
SHIP_0007,2024-12-26,Propeller Repair,,22.488888741225544,Collision Warning,High,45864.36587272523
SHIP_0007,2024-08-30,Electrical System,F003,5.60854666632364,System Malfunction,Low,21606.653863141375
SHIP_0007,2024-02-01,Engine Service,,13.625196673160442,System Malfunction,High,10033.187124469929
SHIP_0007,2024-03-02,Engine Service,,39.78059061909657,Collision Warning,Medium,14336.578553000145
SHIP_0007,2024-10-23,Navigation Equipment,F008,37.52524925136481,Collision Warning,Low,36309.53786901887
SHIP_0007,2024-05-03,Engine Service,F008,0.0,Normal Operation,Medium,3547.555959272788
SHIP_0007,2024-02-17,Electrical System,,0.0,Mechanical Failure,Medium,22554.833381323526
SHIP_0007,2024-07-30,Propeller Repair,F002,0.0,Collision Warning,Medium,31263.4827219227
SHIP_0007,2024-02-24,Engine Service,F003,0.0,System Malfunction,Low,18128.00057161244
SHIP_0008,2024-05-03,Safety Systems,,44.98523142826394,System Malfunction,Low,18796.21534353776
SHIP_0008,2024-08-28,Hull Inspection,F007,5.3639978115809015,Normal Operation,Low,46618.80878474691
SHIP_0008,2024-01-31,Engine Service,F003,2.103037902549888,System Malfunction,Medium,34689.75351978907
SHIP_0008,2024-11-04,Electrical System,F001,0.0,Normal Operation,Low,30110.569237484724
SHIP_0008,2024-02-10,Electrical System,F004,5.397303262617982,Mechanical Failure,Low,12542.81318036165
SHIP_0008,2024-08-03,Safety Systems,,24.95891049685881,Collision Warning,Medium,48718.11106303679
SHIP_0008,2024-10-16,Navigation Equipment,,0.0,System Malfunction,Low,13861.268467256541
SHIP_0008,2024-12-22,Electrical System,,8.096372319688047,Collision Warning,Low,43138.67693567609
SHIP_0008,2024-02-07,Hull Inspection,,0.0,Weather Damage,Low,22103.02757063209
SHIP_0008,2024-09-16,Engine Service,F005,0.0,System Malfunction,Low,36882.955668655835
SHIP_0008,2024-01-10,Hull Inspection,F003,0.0,System Malfunction,Low,35277.86497819807
SHIP_0008,2024-04-23,Propeller Repair,F003,0.0,System Malfunction,Low,10820.309824151733
SHIP_0008,2024-11-02,Propeller Repair,,28.823067432585663,System Malfunction,High,10399.116684044755
SHIP_0008,2024-09-11,Safety Systems,F003,0.0,Mechanical Failure,Low,19470.459774522627
SHIP_0008,2024-11-10,Safety Systems,,0.0,Collision Warning,Low,24352.38416331328
SHIP_0008,2024-05-24,Engine Service,F006,0.0,Normal Operation,Low,44471.23400504295
SHIP_0008,2024-08-12,Safety Systems,,0.0,Normal Operation,Low,38312.92113993742
SHIP_0008,2024-03-26,Hull Inspection,F004,28.46680492206828,System Malfunction,Medium,31242.27649476872
SHIP_0008,2024-09-11,Propeller Repair,F003,0.0,Weather Damage,Medium,5698.064898432516
SHIP_0008,2024-08-09,Electrical System,,44.759111812436075,Normal Operation,Medium,38515.583672977074
SHIP_0008,2024-09-24,Navigation Equipment,F001,0.0,Mechanical Failure,Low,34740.180998912496
SHIP_0008,2024-03-17,Propeller Repair,F007,0.0,Human Error,High,12794.023396581846
SHIP_0008,2024-10-05,Propeller Repair,F005,14.426356496733497,Collision Warning,Low,14706.451543181838
SHIP_0008,2024-12-09,Engine Service,F004,5.159809001305899,Weather Damage,Low,19957.77275795669
SHIP_0008,2024-10-27,Navigation Equipment,F006,0.0,Mechanical Failure,Low,38209.89250870785
SHIP_0009,2024-01-30,Propeller Repair,F008,23.43826981258162,Human Error,Low,24758.034576856076
SHIP_0009,2024-03-05,Safety Systems,F008,5.179308135764787,Human Error,Low,31295.85536302529
SHIP_0009,2024-07-06,Propeller Repair,F005,19.27665916696888,Normal Operation,Medium,25460.692674230966
SHIP_0009,2024-07-09,Hull Inspection,,0.0,Mechanical Failure,Low,2801.105174091185
SHIP_0009,2024-06-26,Safety Systems,,0.0,Collision Warning,Medium,33220.124607131824
SHIP_0009,2024-02-14,Propeller Repair,,43.46871687843741,Human Error,Low,4846.283659530293
SHIP_0009,2024-04-16,Hull Inspection,F005,3.3530851590558317,Weather Damage,Low,14114.879580200959
SHIP_0009,2024-04-11,Electrical System,F008,0.0,Collision Warning,Low,48443.72737557845
SHIP_0009,2024-08-18,Propeller Repair,F003,15.079225699971005,Normal Operation,Low,27948.33613224536
SHIP_0009,2024-03-04,Navigation Equipment,F006,0.0,Normal Operation,Low,27921.075612869005
SHIP_0009,2024-12-06,Electrical System,F002,0.0,Collision Warning,Low,43017.697055895136
SHIP_0009,2024-09-14,Electrical System,,45.81617925513297,System Malfunction,Low,10254.258930298474
SHIP_0009,2024-10-07,Navigation Equipment,,0.0,Normal Operation,Low,18067.207552397005
SHIP_0009,2024-08-01,Safety Systems,,0.0,System Malfunction,Low,7749.479324322721
SHIP_0009,2024-03-19,Navigation Equipment,,21.102033335227347,Collision Warning,Low,16151.89610106166
SHIP_0009,2024-08-07,Safety Systems,F005,39.21757740695464,System Malfunction,Low,30627.77018834883
SHIP_0009,2024-04-28,Hull Inspection,F004,0.0,Collision Warning,Medium,35285.14868836659
SHIP_0009,2024-07-11,Hull Inspection,F006,3.9582287148231377,System Malfunction,Low,3520.851159876613
SHIP_0009,2024-07-27,Propeller Repair,F008,10.0169314274514,System Malfunction,Low,23158.61195000998
SHIP_0009,2024-09-17,Propeller Repair,,38.30643570379256,Mechanical Failure,Medium,2717.96918503149
SHIP_0009,2024-12-15,Electrical System,F003,0.0,Human Error,Low,5716.229531219656
SHIP_0009,2024-01-23,Hull Inspection,F001,0.0,Mechanical Failure,Low,9278.203545082675
SHIP_0009,2024-01-14,Propeller Repair,,0.0,Collision Warning,Medium,32839.68598031033
SHIP_0009,2024-04-18,Electrical System,F007,0.0,Collision Warning,Low,48010.39115187379
SHIP_0009,2024-10-08,Propeller Repair,F008,0.0,Human Error,Low,22785.649544862154
SHIP_0009,2024-01-28,Safety Systems,F003,0.0,Mechanical Failure,Low,14247.873599743698
SHIP_0009,2024-10-25,Propeller Repair,F008,41.232339211691965,System Malfunction,Medium,9051.827782406794
SHIP_0009,2024-04-14,Electrical System,F005,0.0,Collision Warning,Low,33043.17337631791
SHIP_0009,2024-09-23,Safety Systems,,0.0,Collision Warning,Medium,8508.520511570594
SHIP_0009,2024-02-16,Safety Systems,F003,6.441268937355864,Weather Damage,Medium,18074.830223079356
SHIP_0010,2024-09-14,Electrical System,,9.088662519138895,System Malfunction,Low,44460.0196346193
SHIP_0010,2024-06-30,Electrical System,,41.78041510382509,Human Error,Medium,25739.10525766268
SHIP_0010,2024-09-02,Electrical System,F001,0.0,Weather Damage,Low,27128.02371144385
SHIP_0010,2024-02-03,Propeller Repair,F006,0.0,Human Error,Low,715.8491525024626
SHIP_0010,2024-03-06,Navigation Equipment,F001,6.357290076914562,Normal Operation,Low,44654.89081577091
SHIP_0010,2024-01-03,Navigation Equipment,,0.0,Weather Damage,Low,32540.79093105586
SHIP_0010,2024-02-24,Propeller Repair,F001,0.0,Human Error,Medium,30379.396706304262
SHIP_0010,2024-09-10,Propeller Repair,,6.497930463961491,Weather Damage,Low,38534.28750720318
SHIP_0010,2024-08-14,Safety Systems,F006,0.0,Weather Damage,High,15293.81753347365
SHIP_0010,2024-07-28,Safety Systems,,14.899642504440296,Collision Warning,High,16129.754000695413
SHIP_0010,2024-07-11,Navigation Equipment,,46.110739510029084,Collision Warning,Medium,36037.19684005421
SHIP_0010,2024-02-26,Navigation Equipment,F008,14.458709301718367,Human Error,Medium,31139.777523189037
SHIP_0010,2024-04-08,Electrical System,F006,11.74369667508647,Mechanical Failure,High,36956.83269346374
SHIP_0010,2024-07-19,Electrical System,,37.7287679337203,Weather Damage,Low,20833.6688759803
SHIP_0010,2024-03-20,Hull Inspection,F008,0.0,Mechanical Failure,Low,22131.881335905065
SHIP_0010,2024-11-30,Navigation Equipment,,0.0,Mechanical Failure,Low,4735.556116339541
SHIP_0010,2024-03-13,Safety Systems,,0.0,System Malfunction,Medium,20490.184753820373
SHIP_0010,2024-11-06,Navigation Equipment,F004,41.69463115214281,Collision Warning,Low,34080.67256548095
SHIP_0010,2024-07-05,Navigation Equipment,F004,18.162714675170175,Normal Operation,Low,26452.695470752416
SHIP_0010,2024-07-09,Hull Inspection,F008,0.0,Human Error,Medium,20705.79661058201
SHIP_0010,2024-11-05,Navigation Equipment,F002,15.162215936333125,Normal Operation,Low,20318.64300948781
